Source Title (Medline-sourced journals are indicated in Green),Print-ISSN,E-ISSN,Publisher imprints grouped to main Publisher
International Commerce Review,18645739 ,18645747 ,Springer
International Communication Gazette,17480485,17480493,SAGE
International Communications in Heat and Mass Transfer,07351933,,Elsevier
International Community Law Review,18719740,18719732,Brill
"International Conference on ASIC, Proceedings",,,Shanghai Scientific and Technological Literature Publishing House
International Congress and Symposium Series - Royal Society of Medicine,01422367,,Royal Society of Medicine
International Construction,00206415,,Primedia Business Magazines & Media Inc.
International Contact Lens Clinic,08928967,,Elsevier
International Criminal Justice Review,10575677,,SAGE
International Criminal Law Review,1567536X,,Brill
International Dairy Journal,09586946,,Elsevier
International demographics,07315414,,American Demographics
International Dental Journal,00206539,,FDI World Dental Press Ltd.
International Development Planning Review,14746743,,Liverpool University Press
International digest of health legislation,00206563,,World Health Organization
International Disability Studies,02599147,,Taylor & Francis
International Drug Discovery,21504792 ,21504806 ,Russell Publishing LLC
International Dyer,0020658X,,World Textile Publications Ltd.
International economic journal,10168737 ,,Korea International Economic Association
International Economic Review,00206598,14682354,Wiley-Blackwell
International Economics,21107017 ,,Elsevier
International Economics and Economic Policy,16124804,16124812,Springer
International Education Journal,14431475,,Shannon Research Press
International Education Studies,19139020 ,,Canadian Center of Science and Education
International Electronic Journal for Leadership in Learning,12069620,,University of Calgary Press
International Electronic Journal of Elementary Education,13079298,,Dumlupinar Universty
International Electronic Journal of Mathematics Education,13063030,,Gokkusagi Ltd. Sti.
International Emergency Nursing,1755599X,,Elsevier
International Endodontic Journal,01432885,13652591,Wiley-Blackwell
International Energy Journal,1513718X,,Regional Energy Resources Information Center
International Entrepreneurship and Management Journal,15547191,,Springer
International Environmental Affairs,10414665,,University Press of New England for the Trustees of Dartmouth College
"International Environmental Agreements: Politics, Law and Economics",15679764,15731553,Springer
International Family Planning Perspectives,01903187,,Alan Guttmacher Institute
International Feminist Journal of Politics,14616742,,Taylor & Francis
International Fiber Journal,1049801X,,"International Media Group, Inc."
International Fiction Review,03154149 ,,International Fiction Association
International Finance,13670271,14682362,Wiley-Blackwell
International Finance Review,15693767,,Elsevier
International Food and Agribusiness Management Review,10967508,,International Food and Agribusiness Management Association
International Food Research Journal,19854668 ,,Universiti Putra Malaysia
International Forestry Review,14655489,,Commonwealth Forestry Association
International Forum of Allergy and Rhinology,20426976 ,20426984 ,Wiley-Blackwell
International Forum of Psychoanalysis,0803706X,16512324,Taylor & Francis
International Gambling Studies,14459795,,Taylor & Francis
International Game Theory Review,02191989,,World Scientific
International Geology Review,00206814,,"V.H. Winston and Sons, Inc."
International Geophysics,00746142,,Elsevier
International Glass Journal,11235063,,Gruppo Editoriale Faenza Editrice SpA
International Ground Water Technology,10893660,,National Trade Publications
International Health,18763413 ,,Elsevier
International Heart Journal,13492365,13493299,International Heart Journal Association
International Heat Treatment and Surface Engineering,17495148 ,17495156 ,Maney Publishing
International Hepatology Communications,09284346,,Elsevier
International history of nursing journal : IHNJ,13601105,,Royal College of Nursing Publishing Co.
International History Review,07075332 ,,University of Toronto Press
International Hydrocarbon,14640309,,Quasar International Communications Ltd.
International Hydrographic Review,00206946,,International Hydrographic Bureau
International Immunology,09538178,14602377,OUP
International Immunopharmacology,15675769,,Elsevier
International Information and Library Review,10572317,10959297,Elsevier
International Insolvency Review,11800518 ,10991107 ,Wiley-Blackwell
International Interactions,03050629,15477444,Taylor & Francis
International Journal,00207020,,Canadian Institute of International Affairs
International Journal Bioautomotion,13141902 ,13142321 ,Institute of Biophysics and Biomedical Engineering at the Bulgarian Academy of Sciences
International Journal for Academic Development,1360144X ,14701324 ,Taylor & Francis
International Journal for Artificial Intelligence in Engineering,02679264,,Computational Mechanics Publications
International Journal for Educational and Vocational Guidance,02512513,,Springer
International Journal for Engineering Modelling,13301365,,University of Split
International Journal for Equity in Health,14759276,,Springer
International Journal for Housing Science and Its Applications,01466518,,Ural and Associates Inc.
International Journal for Ion Mobility Spectrometry,14356163 ,18654584 ,Springer
International Journal for Multiscale Computational Engineering,15431649,,Begell House
International Journal for Numerical and Analytical Methods in Geomechanics,03639061,,Wiley-Blackwell
International Journal for Numerical Methods in Biomedical Engineering,20407939,,Wiley-Blackwell
International Journal for Numerical Methods in Engineering,00295981,10970207,Wiley-Blackwell
International Journal for Numerical Methods in Fluids,02712091,10970363,Wiley-Blackwell
International Journal for Parasitology,00207519,,Elsevier
International Journal for Parasitology: Drugs and Drug Resistance,22113207 ,,Elsevier
International Journal for Parasitology: Parasites and Wildlife,22132244 ,,Elsevier
International Journal for Philosophy of Religion,00207047,,Brill
International Journal for Quality in Health Care,13534505,14643677,OUP
International Journal for Radiation Physics and Chemistry,00207055 ,,Elsevier
International Journal for Remote Sensing,01431161,13665901,Taylor & Francis
International Journal for Technology in Mathematics Education,17442710 ,,"Centre for Teaching Mathematics, University of Plymouth"
International Journal for the Advancement of Counselling,01650653,15733246,Springer
International Journal for the History of Engineering and Technology,17581206 ,17581214 ,Maney Publishing
International Journal for the Joining of Materials,09056866,,J O M Institute
International Journal for the Semiotics of Law,09528059,,Springer
International journal for the Study of the Christian Church,1474225X ,14740234 ,Taylor & Francis
International Journal for Vitamin and Nutrition Research,03009831,,Hans Huber AG
International Journal of  Bio-Science and Bio-Technology,22337849 ,,Science and Engineering Research Support Society
International Journal of Abrasive Technology,17522641 ,1752265X ,Inderscience
International Journal of Acarology,01647954,,Indira Publishing House
International Journal of Accounting,10944060,,Elsevier
International Journal of Accounting and Information Management,18347649 ,,Emerald
International Journal of Accounting Information Systems,14670895,,Elsevier
"International Journal of Accounting, Auditing and Performance Evaluation",17408008,17408016,Inderscience
International Journal of Acoustics and Vibrations,10275851,,Nauchno-tekhnicheskii Tsentr
International Journal of Action Research,18611303 ,18619916 ,Rainer Hampp Verlag
International Journal of Ad Hoc and Ubiquitous Computing,17438225,17438233,Inderscience
International Journal of Adaptive Control and Signal Processing,08906327,10991115,Wiley-Blackwell
International Journal of Adhesion and Adhesives,01437496,,Elsevier
International Journal of Adolescence and Youth,02673843,,A B Academic Publishers
International Journal of Adolescent Medicine and Health,03340139,,Freund Publishing House Ltd.
International Journal of Advanced Intelligence Paradigms,17550386 ,17550394 ,Inderscience
International Journal of Advanced Manufacturing Technology,02683768,14333015,Springer
International Journal of Advanced Mechatronic Systems,17568412 ,17568420 ,Inderscience
International Journal of Advanced Media and Communication,14624613,,Inderscience
International Journal of Advanced Robotic Systems,17298806,,Vienna University of Technology
International Journal of Advancements in Computing Technology,20058039 ,,Advanced Institute of Convergence Information Technology Research Center
International Journal of Advances in Pharmaceutical Sciences,09761055 ,,Advanced Research Journals
International Journal of Advances in Rheumatology,1478856X ,,Remedica Medical Education and Publishing Ltd
International Journal of Advances in Soft Computing and its Applications,20748523 ,,International Center for Scientific Research and Studies  (ICSRS)
International Journal of Advertising,02650487,,"Holt, Rinehart and Winston"
International Journal of Aeroacoustics,1475472X ,,Multi-Science Publishing Co. Ltd
International Journal of Aeronautical and Space Sciences,2093274X ,20932480 ,The Korean Society for Aeronautical & Space Sciences
International Journal of Aerospace Engineering,16875966 ,16875974 ,Hindawi
International Journal of Aerospace Innovations,17572258 ,17572266 ,Multi-Science Publishing Co Ltd.
International Journal of Ageing and Later Life,16528670 ,,Linkoping University Electronic Press
International Journal of Agent-Oriented Software Engineering,17461375 ,17461383 ,Inderscience
International Journal of Agile Manufacturing,15362639,,International Society for Agile Manufacturing
International Journal of Aging and Human Development,00914150,15413535,"Baywood Publishing Co., Inc."
International Journal of Agricultural and Biological Engineering,19346344,19346352,International Journal of Agricultural and Biological Engineering (IJABE)
International Journal of Agricultural and Environmental Information Systems,19473192 ,19473206 ,IGI Global Publishing
International Journal of Agricultural and Statistical Sciences,09731903,09763392,Dev College
International Journal of Agricultural Research,18164897,,Academic Journals Inc.
"International Journal of Agricultural Resources, Governance and Ecology",14624605,,Inderscience
International Journal of Agricultural Sustainability,14735903 ,1747762X ,Earthscan Publications Ltd
International Journal of Agriculture and Biology,15608530,18149596,Friends Science Publishers
International journal of air and water pollution,0367682X ,,Elsevier
International Journal of Algebra and Computation,02181967,,World Scientific
International Journal of Alternative Propulsion,14710234 ,17418011 ,Inderscience
International Journal of Alzheimer's Disease,20908024 ,20900252 ,Hindawi
International Journal of Ambient Computing and Intelligence,19416237 ,19416245 ,IGI Global Publishing
International Journal of Ambient Energy,01430750,,Ambient Press Ltd.
International Journal of American Linguistics,00207071,,Indiana University Press
International Journal of Analytical Chemistry,16878760 ,16878779 ,Hindawi
International Journal of Andrology,01056263,13652605,Wiley-Blackwell
"International Journal of Andrology, Supplement",01061607,,Copenhagen Scriptor
International Journal of Angiology,10611711,16155939,Thieme
International Journal of Antennas and Propagation,16875869 ,16875877 ,Hindawi
International Journal of Anthropology,03939383,,Angelo Pontecorboli Editore
International Journal of Antimicrobial Agents,09248579,,Elsevier
International Journal of Applied Aviation Studies,15463214 ,,Federal Aviation Administration Academy (U>S)
International Journal of Applied Business and Economic Research,09727302 ,,Serials Publications
International Journal of Applied Ceramic Technology,1546542X,,American Ceramic Society
International Journal of Applied Chemistry,09731792 ,09739734 ,Research India Publications
International Journal of Applied Cryptography,17530563 ,17530571 ,Inderscience
International Journal of Applied Decision Sciences,17558077,17558085,Inderscience
International Journal of Applied Earth Observation and Geoinformation,15698432,,Elsevier
International Journal of Applied Electromagnetics and Mechanics,13835416,,IOS Press
International Journal of Applied Electromagnetics in Materials,09252096,,Elsevier
International Journal of Applied Engineering Research,09734562 ,,Research India Publications
International Journal of Applied Environmental Sciences,09736077 ,09740260 ,Research India Publications
International Journal of Applied Geospatial Research,19479654 ,19479662 ,IGI Global Publishing
International Journal of Applied Glass Science,20411286 ,20411294 ,Wiley-Blackwell
International Journal of Applied Linguistics,08026106,,Wiley-Blackwell
International Journal of Applied Management Science,17558913 ,17558921 ,Inderscience
International Journal of Applied Mathematics and Computer Science,1641876X,,Technical University Press
International Journal of Applied Mathematics and Statistics,09731377 ,,"Centre for Environment, Social & Economic Research"
International Journal of Applied Mechanics,17588251 ,1758826X ,World Scientific
International Journal of Applied Pharmaceutics,09757058 ,,International Journal of Applied Pharmaceutics
International Journal of Applied Psychoanalytic Studies,17423341,,Whurr Publishers Ltd.
International Journal of Applied Radiation and Isotopes,0020708X,,Elsevier
International Journal of Applied Research in Natural Products,19406223 ,,Healthy Synergies Publications
International Journal of Applied Research in Veterinary Medicine,15422666 ,,Veterinary Solutions LLC
International Journal of Applied Systemic Studies,17510589 ,17510597 ,Inderscience
International Journal of Applied Thermodynamics,13019724,,International Centre for Applied Thermodynamics
International Journal of Approximate Reasoning,0888613X,18734731,Elsevier
International Journal of Aquatic Research and Education,19329997 ,,Human Kinetics Publishers Inc.
"International Journal of Architectonic, Spatial, and Environmental Design",23251662 ,23251670 ,Common Ground Publishing
International Journal of Architectural Computing,14780771 ,,Multi-Science Publishing Co Ltd.
International Journal of Architectural Heritage,15583058,,Taylor & Francis
International Journal of Aromatherapy,09624562,,Essential Oil Resource Consultants
International Journal of Art and Design Education,14768062,,Wiley-Blackwell
International Journal of Art Therapy,17454832,,Taylor & Francis
International Journal of Artificial Intelligence,09740635 ,,CESER Publications
International Journal of Artificial Intelligence in Education,15604292 ,15604306 ,International Artificial Intelligence in Education Society
International Journal of Artificial Organs,03913988,,Wichtig Editore
International Journal of Arts and Technology,17548853 ,,Inderscience
International Journal of Arts Management,14808986 ,,Ecole des Hautes Etudes Commerciales
International Journal of Asian Studies,14795914 ,,Cambridge University Press
International Journal of Asia-Pacific Studies,,18236243 ,Universiti Sains Malaysia
International Journal of Assessment and Evaluation,23278692 ,23277920 ,Common Ground Publishing
International Journal of Astrobiology,14735504,,Cambridge University Press
International Journal of Atherosclerosis,18092942,,Sociedad Brasileira De Cardiologia
International Journal of Athletic Therapy and Training,21577285 ,,Human Kinetics Publishers Inc.
International Journal of Audiology,14992027,17088186,B.C. Decker Inc.
International Journal of Auditing,10906738 ,10991123 ,Wiley-Blackwell
International Journal of Automation and Computing,14768186,,Springer
International Journal of Automation and Control,17407516 ,17407524 ,Inderscience
International Journal of Automation Technology,18817629 ,18838022 ,Fuji
International Journal of Automotive and Mechanical Engineering,22298649 ,21801606 ,"The Automotive Engineering Centre (AEC), Universiti Malaysia Pahang"
International Journal of Automotive Technology,12299138,,"Korea Soc of Automotive Engineers, Inc"
International Journal of Automotive Technology and Management,14709511,,Inderscience
International Journal of Autonomous and Adaptive Communications Systems,17548632 ,17548640 ,Inderscience
International Journal of Aviation Psychology,10508414,15327108,Lawrence Erlbaum Associates Inc.
International Journal of Ayurveda Research,09747788 ,0974925X ,Medknow Publications
International Journal of Bank Marketing,02652323,,Emerald
"International Journal of Banking, Accounting and Finance",17553830 ,17553849 ,Inderscience
International Journal of Behavioral Development,01650254,14640651,SAGE
International Journal of Behavioral Medicine,10705503,15327558,Lawrence Erlbaum Associates Inc.
International Journal of Behavioral Nutrition and Physical Activity,14795868,,Springer
International Journal of Bifurcation and Chaos in Applied Sciences and Engineering,02181274,,World Scientific
International Journal of Bilingual Education and Bilingualism,13670050,,Multilingual Matters Ltd.
International Journal of Bilingualism,13670069 ,,Kingston Press Services Ltd.
International Journal of Biochemistry,0020711X,,Elsevier
International Journal of Biochemistry and Cell Biology,13572725,,Elsevier
International Journal of Biochemistry and Molecular Biology,21524114 ,,e-Century Publishing Corporation
International Journal of Bio-Chromatography,10680659,,Taylor & Francis
International Journal of Bioclimatology Biometeorology,03678253,,International Society of Bioclimatology and Biometeorology
International Journal of Biodiversity Science and Management,17451590,17451604,Sapiens Publishing
"International Journal of Biodiversity Science, Ecosystems Services and Management",21513732,21513740,Taylor & Francis
International Journal of Bioinformatics Research and Applications,17445485,17445493,Inderscience
International Journal of Bio-Inspired Computation,17580366 ,17580374 ,Inderscience
International Journal of Biological Chemistry,1819155X ,,ANSInet
International Journal of Biological Macromolecules,01418130,,Elsevier
International Journal of Biological Markers,03936155,,Wichtig Editore
International Journal of Biological Research in Pregnancy,01738593,,Dustri-Verlag Dr. Karl Feistle
International Journal of Biological Sciences,14492288,,Ivyspring International Publisher
International Journal of Biomaterials,16878787 ,16878795 ,Hindawi
International Journal of Biomathematics,17935245 ,17937159 ,World Scientific
International Journal of Bio-Medical Computing,00207101,,Elsevier
International Journal of Biomedical Engineering and Technology,17526418 ,17526426 ,Inderscience
International Journal of Biomedical Imaging,16874188,16874196,Hindawi
International Journal of Biomedical Science,15509702,15552810,Master Publishing Group
International Journal of Biometeorology,00207128,14321254,Springer
International Journal of Biometrics,17558301,1755831X,Inderscience
International Journal of Biosciences and the Law,1353274X,,A B Academic Publishers
International Journal of Biostatistics,15574679,,Walter de Gruyter
International Journal of Biotechnology,09636048,17415020,Inderscience
International Journal of Biotronics,13484478,,Kyushu University
International Journal of Botany,18119700,18119719,ANSInet
International Journal of Business,10834346 ,,Premier Publishing
International Journal of Business and Globalisation,17533627 ,17533635 ,Inderscience
International Journal of Business and Management Science,18376614 ,1985692X ,"Society for Alliance, Fidelity and Advancement"
International Journal of Business and Society,15116670 ,,Universiti Malaysia Sarawak
International Journal of Business Data Communications and Networking,15480631 ,1548064X ,Idea Group Publishing
International Journal of Business Excellence,17560047,17560055,Inderscience
International Journal of Business Governance and Ethics,14779048,1741802X,Inderscience
International Journal of Business Information Systems,17460972,17460980,Inderscience
International Journal of Business Innovation and Research,17510252,,Inderscience
International Journal of Business Intelligence and Data Mining,17438187,17438195,Inderscience
International Journal of Business Performance Management,13684892,17415039,Inderscience
International Journal of Business Process Integration and Management,17418763,17418771,Inderscience
International Journal of Business Science and Applied Management,17530296 ,,Brunel University
International Journal of Cancer,00207136,10970215,Wiley-Blackwell
International Journal of Cancer Prevention,15541134,,"Nova Science Publishers, Inc."
International Journal of Cancer Research,18119727,18119735,Asian Network for Scientific Information
International Journal of Cancer Research and Prevention,15541134 ,,Nova Science Publishers Inc
International journal of cancer. Supplement = Journal international du cancer. Supplement,08986924,,Wiley-Blackwell
International Journal of Cardiac Imaging,01679899,,Springer
International Journal of Cardiology,01675273,,Elsevier
International Journal of Cardiovascular Imaging,15695794,15730743,Springer
International Journal of Cardiovascular Interventions,14628848,14711796,Taylor & Francis
International Journal of Care Pathways,20404026,20404034,Royal Society of Medicine Press
International Journal of Cast Metals Research,13640461,,Maney Publishing
International Journal of Cell Biology,16878876 ,16878884 ,Hindawi
International Journal of Cell Cloning,07371454,,AlphaMed Press Inc
International Journal of Cement Composites,0142095X,,Construction Press
International Journal of Cement Composites and Lightweight Concrete,02625075,,Elsevier
International Journal of Central Banking,18154654 ,,Association of the International Journal of Central Banking
International Journal of Chemical Engineering,1687806X,16878078,Hindawi
International Journal of Chemical Kinetics,05388066,10974601,Wiley-Blackwell
International Journal of Chemical Reactor Engineering,15426580,,Walter de Gruyter
International Journal of Chemical Sciences,0972768X ,,Sadguru Publications
International Journal of ChemTech Research,09744290,,Sphinx Knowledge House
International Journal of Child-Computer Interaction,22128689 ,,Elsevier
International Journal of Children's Rights,09275568,15718182,Brill
International Journal of Children's Spirituality,1364436X,,Taylor & Francis
International Journal of Chronobiology,03009998,,Wiley-Blackwell
International Journal of Circuit Theory and Applications,00989886,1097007X,Wiley-Blackwell
"International Journal of Circuits, Systems and Signal Processing",19984464 ,,North Atlantic University Union NAUN
International journal of circumpolar health,12399736,,International Union for Circumpolar Health
"International Journal of Civic, Political, and Community Studies",23270047 ,23272155 ,Common Ground Publishing
International Journal of Civil Engineering,17350522,,University of Science and Technology
International Journal of Climate Change Strategies and Management,17568692 ,,Emerald
International Journal of Climatology,08998418,10970088,Wiley-Blackwell
International Journal of Clinical and Experimental Hypnosis,00207144,,Swets & Zeitlinger
International Journal of Clinical and Experimental Medicine,19405901,,e-Century Publishing Corporation
International Journal of Clinical and Experimental Pathology,19362625,,e-Century Publishing Corporation
International Journal of Clinical and Health Psychology,16972600,,Asociacion Espanola de Psicologia Conductual
International Journal of Clinical and Laboratory Research,09405437,,Springer
International Journal of Clinical Dentistry,19395833,,"Nova Science Publishers, Inc."
International Journal of Clinical Leadership,1757207X ,17572088 ,Radcliffe Pub.
International Journal of Clinical Monitoring and Computing,01679945,,Springer
International Journal of Clinical Neuropsychology,07498470,,Owens Clinic
International Journal of Clinical Oncology,13419625,14377772,Springer
International Journal of Clinical Pharmacology and Biopharmacy,03400026,,Urban Und Schwarzenberg
International Journal of Clinical Pharmacology and Therapeutics,09461965,,Dustri-Verlag Dr. Karl Feistle
International Journal of Clinical Pharmacology Research,02511649,,Bioscience Ediprint Inc.
International Journal of Clinical Pharmacology Therapy and Toxicology,01744879,,Dustri-Verlag Dr. Karl Feistle
"International Journal of Clinical Pharmacology, Therapy and Toxicology",03009718,,Urban Und Schwarzenberg
International Journal of Clinical Pharmacy,22107703,22107711,Springer
International Journal of Clinical Practice,13685031,17421241,Medicom
"International Journal of Clinical Practice, Supplement",1368504X,,Medicom
International Journal of Clinical Rheumatology,17584272 ,17584280 ,Future Medicine Ltd.
International Journal of Clinical Skills,17530431 ,1753044X ,SkillsClinic Ltd.
International Journal of Clothing Science and Technology,09556222,,Emerald
International Journal of Coal Geology,01665162,,Elsevier
International Journal of Coal Preparation and Utilization,19392699 ,,Taylor & Francis
International Journal of Cognitive Informatics and Natural Intelligence,15573958 ,15573966 ,IGI Global Publishing
International Journal of Cognitive Therapy,19371209 ,19371217 ,Guilford Press
International Journal of Collaborative Research on Internal Medicine and Public Health,18404529,,DRUNPP Sarajevo
International Journal of Colorectal Disease,01791958,14321262,Springer
International Journal of COMADEM,13637681,,COMADEM International
International Journal of Communication,19328036 ,,USC Annenberg School for Communication & Journalism
International Journal of Communication and Linguistic Studies,23277882 ,23278617 ,Common Ground Publishing
International Journal of Communication Networks and Distributed Systems,17543916 ,17543924 ,Inderscience
International Journal of Communication Networks and Information Security,20760930 ,2073607X ,"Institute of Information Technology, Kohat University of Science and Technology"
International Journal of Communication Systems,10745351,10991131,Wiley-Blackwell
International Journal of Community Diversity,23270004 ,23272147 ,Common Ground Publishing
International Journal of Community Music,17526299 ,17526302 ,Intellect Ltd.
International Journal of Comparative Sociology,00207152,,SAGE
International Journal of Computational and Mathematical Sciences,20703910 ,,World Academy of Science Engineering and Technology
International Journal of Computational Biology and Drug Design,17560756 ,17560764 ,Inderscience
International Journal of Computational Engineering Science,14658763,,Imperial College Press
International Journal of Computational Fluid Dynamics,10618562,10290257,Taylor & Francis
International Journal of Computational Geometry and Applications,02181959,,World Scientific
International Journal of Computational Intelligence and Applications,14690268 ,,Imperial College Press
International Journal of Computational Intelligence Systems,18756891,18756883,Atlantis Press
International Journal of Computational Materials Science and Surface Engineering,17533465,17533473,Inderscience
International Journal of Computational Methods,02198762,,World Scientific
International Journal of Computational Methods in Engineering Science and Mechanics,15502287,15502295,Taylor & Francis
International Journal of Computational Science and Engineering,17427185,17427193,Inderscience
International Journal of Computational Vision and Robotics,17529131 ,1752914X ,Inderscience
International Journal of Computer Aided Engineering and Technology,17572657 ,17572665 ,Inderscience
International Journal of Computer and Information Sciences,00917036,,Springer
International Journal of Computer Applications in Technology,09528091,,Inderscience
International Journal of Computer Games Technology,16877047 ,16877055 ,Hindawi
International Journal of Computer Integrated Manufacturing,0951192X,13623052,Taylor & Francis
International Journal of Computer Mathematics,00207160,,Taylor & Francis
International Journal of Computer Science and Applications,09729038,,Technomathematics Research Foundation
International Journal of Computer Science in Sport,16844769 ,,International Association of Computer Science in Sport
International Journal of Computer Vision,09205691,,Springer
International Journal of Computerized Dentistry,14634201,,Quintessenz Verlags GmbH
International Journal of Computers and Applications,1206212X,,International Society for Mini and Microcomputers
International Journal of Computers and their Applications,10765204 ,,International Society for Computers and Their Applications (ISCA)
International Journal of Computers for Mathematical Learning,13823892,15731766,Springer
"International Journal of Computers, Communications and Control",18419836 ,,Agora University
International Journal of Computer-Supported Collaborative Learning,15561607,15561615,Springer
International Journal of Computing Science and Mathematics,17525055 ,17525063 ,Inderscience
International Journal of Conflict and Violence,18641385,,University of Bielefeld
International Journal of Conflict Management,10444068,,Information Age Publishing Inc.
International Journal of Conservation Science,2067533X ,20678223 ,Editura Universitatea Alexendru Ion Cuza
International Journal of Constitutional Law,14742640,14742659,OUP
International Journal of Construction Education and Research,15503984,,Brigham Young University
International Journal of Construction Management,15623599 ,,Chinese Research Institute of Construction Management
International Journal of Consumer Studies,14706423 ,,Wiley-Blackwell
International Journal of Contemporary Hospitality Management,09596119,,Emerald
International Journal of Contemporary Iraqi Studies,17512867 ,17512875 ,Intellect Ltd.
International Journal of Continuing Engineering Education and Life-Long Learning,15604624,17415055,Inderscience
International Journal of Control,00207179,,Taylor & Francis
International Journal of Control and Automation,20054297 ,,Science and Engineering Research Support Society
International Journal of Control Theory and Applications,09745572 ,,Serials Publications
"International Journal of Control, Automation and Systems",15986446,,Korean Institute of Electrical Engineers
International Journal of Cooperative Information Systems,02188430,,World Scientific
International Journal of COPD,11769106,11782005,Dove Medical Press
International Journal of Corpus Linguistics,13846655 ,15699811 ,John Benjamins Publishing Company
International Journal of Corrosion,16879325 ,16879333 ,Hindawi
International Journal of Cosmetic Science,01425463,14682494,Wiley-Blackwell
International Journal of Cosmetic Surgery and Aesthetic Dermatology,15308200,,Mary Ann Liebert
International Journal of Crashworthiness,13588265,15738965,Woodhead Publishing Ltd.
International Journal of Critical Computer-Based Systems,17578779 ,17578787 ,Inderscience
International Journal of Critical Cultural Studies,23270055 ,23272376 ,Common Ground Publishing
International Journal of Critical Infrastructure Protection,18745482 ,,Elsevier
International Journal of Critical Infrastructures,14753219,17418038,Inderscience
International Journal of Cross Cultural Management,14705958 ,17412838 ,SAGE
International Journal of Crude Drug Research,01677314,,Swets & Zeitlinger
International Journal of Cultural Policy,10286632,14772833,Taylor & Francis
International Journal of Cultural Studies,13678779,,SAGE
International Journal of Culture and Mental Health,17542863 ,17542871 ,Taylor & Francis
"International Journal of Culture, Tourism, and Hospitality Research",17506182 ,,Emerald
International Journal of Current Pharmaceutical Review and Research,0976822X ,,"Publishers, In-IJCPR"
"International Journal of Cyber Behavior, Psychology and Learning",21557136 ,,IGI Global Publishing
International Journal of Cyber Criminology,09742891 ,,K. Jaishankar
International Journal of Dairy Science,18119743,18119751,ANSInet
International Journal of Dairy Technology,1364727X,14710307,Society of Dairy Technology
International Journal of Damage Mechanics,10567895,15307921,SAGE
International Journal of Data Analysis Techniques and Strategies,17558050 ,17558069 ,Inderscience
International Journal of Data Mining and Bioinformatics,17485673,17485681,Inderscience
"International Journal of Data Mining, Modelling and Management",17591163 ,17591171 ,Inderscience
International Journal of Data Warehousing and Mining,15483924 ,15483932 ,Idea Group Publishing
International Journal of Decision Support System Technology,19416296 ,1941630X ,IGI Global Publishing
International Journal of Dental Hygiene,16015029,16015037,Wiley-Blackwell
International Journal of Dentistry,16878728 ,16878736 ,Hindawi
International Journal of Dermatology,00119059,13654632,Wiley-Blackwell
International Journal of Design,19913761,,National Taiwan University of Science and Technology
International Journal of Design and Nature,17443687,17443679,WIT Press
International Journal of Design and Nature and Ecodynamics,17557437 ,,WIT Press
International Journal of Design Computing,13297147,,University of Sydney
International Journal of Design in Society,23251328 ,23251360 ,Common Ground Publishing
International Journal of Design Management and Professional Practice,2325162X ,23251638 ,Common Ground Publishing
International Journal of Design Sciences and Technology,16307267 ,,Europia Productions
International Journal of Designed Objects,23251379 ,23251395 ,Common Ground Publishing
International Journal of Developmental Biology,02146282,,University of the Basque Country Press
International Journal of Developmental Disabilities,20473869 ,20473877 ,Maney Publishing
International Journal of Developmental Neuroscience,07365748,,Elsevier
International Journal of Developmental Sciences,2192001X ,,IOS Press
International Journal of Diabetes and Metabolism,16067754,,United Arab Emirates University
International Journal of Diabetes in Developing Countries,09733930,,Medknow Publications
International Journal of Diabetes Mellitus,18775934 ,,Elsevier
International Journal of Differential Equations,16879643 ,16879651 ,Hindawi
International Journal of Digital & Analog Cabled Systems,08943222,,Wiley-Blackwell
International Journal of Digital Accounting Research,15778517 ,,Rutgers University
International journal of digital and analog communication systems,10479627,,Wiley-Blackwell
International Journal of Digital Content Technology and its Applications,19759339 ,,Advanced Institute of Convergence Information Technology Research Center
International Journal of Digital Crime and Forensics,19416210 ,19416229 ,IGI Global Publishing
International Journal of Digital Earth,17538947 ,17538955 ,Taylor & Francis
International Journal of Digital Multimedia Broadcasting,16877578,16877586,Hindawi
International Journal of Disability Management,18338550 ,18344887 ,Cambridge University Press
"International Journal of Disability, Development and Education",1034912X,1465346X,Taylor & Francis
International Journal of Disaster Medicine,15031438,16513037,Taylor & Francis
International Journal of Disaster Resilience in the Built Environment,17595908 ,,Emerald
International Journal of Disaster Risk Reduction,22124209 ,,Elsevier
International Journal of Disclosure and Governance,17413591,17466539,Macmillan
International Journal of Discrimination and the Law,13582291,,SAGE
International Journal of Distance Education Technologies,15393100,,Idea Group Publishing
International Journal of Distributed Sensor Networks,15501329,15501477,Taylor & Francis
International Journal of Distributed Systems and Technologies,19473532 ,,IGI Publishing
International Journal of Diverse Identities,23277866 ,23278560 ,Common Ground Publishing
International Journal of Diversity in Education,23270020 ,,Common Ground Publishing
"International Journal of Diversity in Organisations, Communities and Nations",14479532 ,,Common Ground Publishing
International Journal of Doctoral Studies,15568881 ,15568873 ,Informing Science Institute
International Journal of Dream Research,18667953 ,,Central Institute of Mental Health
International Journal of Drug Delivery,09750215,,International Journal of Drug Delivery Technology
International Journal of Drug Delivery,09750215 ,,Advanced Research Journals
International Journal of Drug Development and Research,09759344,,International Journal of Drug Development and Research
International Journal of Drug Policy,09553959,,Elsevier
International Journal of Dynamical Systems and Differential Equations,17523583 ,17523591 ,Inderscience
International Journal of Early Childhood,00207187 ,,Irish University Press
International Journal of Early Childhood Learning,23277939 ,23278722 ,Common Ground Publishing
